"","Тип","Голень","Колено","Туловище"
"1","Статика",62.2,85.5,15.7
"2","Статика",63.6,82.7,16.9
"3","Статика",57.3,75.2,14.1
"4","Статика",64.1,74.4,25.9
"5","Статика",42,56.9,10.8
"6","Статика",48.1,62.6,10.5
"7","Статика",49.9,63.7,16.9
"8","Статика",52.5,65.4,10.6
"9","Статика",59.8,76.7,8.7
"10","Статика",54.7,70.5,10.6
"11","Статика",52,76.2,8.6
"12","Статика",51.4,66.4,12.7
"13","Статика",53,73,10.5
"14","Статика",55.6,70.3,13.9
"15","Статика",54.9,70,12.2
"16","Статика",51.9,68.2,13.3
"17","Статика",62.8,70.5,9.8
"18","Статика",55.5,70.6,11.7
"19","Статика",56.8,70.9,10.3
"20","Статика",54.6,63.4,10.8
"21","Статика",49.1,69.9,6.4
"22","Статика",55.8,66.5,10
"23","Статика",52.7,64.3,12.4
"24","Статика",53.3,63,11.1
"25","Статика",52.6,65.2,11.4
"26","Статика",54.1,72.2,10.2
"27","Статика",55.3,70.2,7.6
"28","Статика",51.4,65,12.3
"29","Статика",51.3,66.2,14.5
"30","Статика",53.1,73.4,9.1
"31","Статика",47.1,61.7,9.6
"32","Статика",53.4,66.2,13.3
"33","Статика",54.8,63.1,10.7
"34","Статика",47.4,58.5,8.9
"35","Статика",56,75.5,6.6
"36","Статика",53.5,69.8,6.6
"37","Статика",53.8,62.7,17.1
"38","Статика",52.7,72.8,8.3
"39","Статика",49.2,67.5,9.4
"40","Статика",52.5,65.5,10.2
"41","Статика",50.6,76.8,3.1
"42","Статика",56.7,66.6,22.3
"43","Статика",58.9,71.2,11.7
"44","Статика",55.6,75.7,12.7
"45","Динамика_кросс",60.6,86.4,16.9
"46","Динамика_кросс",62.5,81.5,14.2
"47","Динамика_кросс",58.2,74.8,13.1
"48","Динамика_кросс",62,78.1,26.6
"49","Динамика_кросс",53.5,76.6,15.6
"50","Динамика_кросс",47.2,62.8,13.5
"51","Динамика_кросс",54.2,70.4,8.6
"52","Динамика_кросс",49.2,68.2,8.6
"53","Динамика_кросс",57.8,71.9,9.2
"54","Динамика_кросс",58.7,69.4,15.9
"55","Динамика_кросс",50.4,65.5,8.3
"56","Динамика_кросс",54.7,66.2,10.1
"57","Динамика_кросс",55.2,74.2,10.1
"58","Динамика_кросс",58.1,72.7,6
"59","Динамика_кросс",53.8,73.4,10.7
"60","Динамика_кросс",52.9,77.8,10.3
"61","Динамика_кросс",54.1,69.5,7.1
"62","Динамика_кросс",52.3,72.1,13.4
"63","Динамика_кросс",60.9,76.2,13.7
"64","Динамика_кросс",51.3,61.2,16.9
"65","Динамика_кросс",51,62.1,15.6
"66","Динамика_кросс",53.3,72.5,10.4
"67","Динамика_кросс",54.1,64.3,9.7
"68","Динамика_кросс",58.8,75.5,12.1
"69","Динамика_кросс",51.4,60.7,13.6
"70","Динамика_кросс",57.4,64.8,11.9
"71","Динамика_кросс",55.1,63.5,14
"72","Динамика_кросс",61.6,81.8,9.5
"73","Динамика_кросс",53,64.3,8.4
"74","Динамика_кросс",63.2,77.2,13.9
"75","Динамика_кросс",58,76.3,19.2
"76","Динамика_кросс",62.9,71.5,16.3
"77","Динамика_кросс",58.7,68,18.8
"78","Динамика_кросс",66.6,83.6,18
"79","Динамика_кросс",NA,NA,NA
"80","Динамика_кросс",59,71.1,15.2
"81","Динамика_кросс",NA,NA,NA
"82","Динамика_кросс",63,77.7,13.7
"83","Динамика_кросс",NA,NA,NA
"84","Динамика_кросс",55.7,65.8,15.3
"85","Динамика_кросс",52.1,67.9,17.8
"86","Динамика_кросс",52.4,57.5,19.8
"87","Динамика_кросс",53.2,70.3,16.9
"88","Динамика_бот",54.4,80.3,14.8
"89","Динамика_бот",63.1,84,15.3
"90","Динамика_бот",58.6,80.1,12.4
"91","Динамика_бот",59.6,77.6,28
"92","Динамика_бот",46,58.7,13.8
"93","Динамика_бот",51.8,69.2,7.3
"94","Динамика_бот",48.6,66.2,7.2
"95","Динамика_бот",53.2,71.8,10.7
"96","Динамика_бот",56.5,68.3,11.2
"97","Динамика_бот",55.8,71.1,13
"98","Динамика_бот",58.4,66.2,15.3
"99","Динамика_бот",56.5,69.5,12.7
"100","Динамика_бот",56.8,70.8,6
"101","Динамика_бот",58.3,74.7,19.5
"102","Динамика_бот",NA,NA,NA
"103","Динамика_бот",NA,NA,NA
"104","Динамика_бот",54,73,14.9
"105","Динамика_бот",56.6,70.3,16.7
"106","Динамика_бот",53.4,65.9,16
"107","Динамика_бот",46.6,60.3,13.2
"108","Динамика_бот",54.4,67.8,14.6
"109","Динамика_бот",50.9,66.5,11.2
"110","Динамика_бот",58.4,63.7,16.1
"111","Динамика_бот",57.6,72.6,12.2
"112","Динамика_бот",NA,NA,NA
"113","Динамика_бот",NA,NA,NA
"114","Динамика_бот",NA,NA,NA
"115","Динамика_бот",NA,NA,NA
"116","Динамика_бот",NA,NA,NA
"117","Динамика_бот",58.4,76.7,11.1
"118","Динамика_бот",55.1,68.8,18.6
"119","Динамика_бот",62.8,73.2,17.6
"120","Динамика_бот",48.4,62.5,12
"121","Динамика_бот",62.6,77.3,13.4
"122","Динамика_бот",NA,NA,NA
"123","Динамика_бот",NA,NA,NA
"124","Динамика_бот",NA,NA,NA
"125","Динамика_бот",NA,NA,NA
"126","Динамика_бот",NA,NA,NA
"127","Динамика_бот",55.7,65.8,15.3
"128","Динамика_бот",54.5,64.9,20.5
"129","Динамика_бот",53,61.1,18.5
"130","Динамика_бот",NA,NA,NA
